(2d, 7h, Td, Tc, Ts)
(2d, 3s, 4h, 9c, Kh)
(4c, 5d, 9c, Th, Qs)
(2d, 3s, 5h, 9s, Ah)
(5d, 7d, 9d, 9c, Th)
(3h, 4s, 5h, 7h, Qh)
(2s, 4c, 6c, 8d, Ac)
(3h, 5s, 6d, 7s, Td)
(8s, 8d, 9c, Qh, As)
(5c, 9s, Td, Qs, Kh)
(2d, 5h, 5s, 6c, 8h)
(4h, 4d, 8c, Qd, Ah)
(2s, 6s, 7s, 8c, Ad)
(4s, 5h, Jc, Qh, Kd)
(3c, 9c, Td, Jc, Ah)
(3c, 6c, 8c, 9s, 9d)
(4d, Ts, Js, Qh, As)
(2s, 3d, 4h, 7d, 8c)
(2c, 3s, 3h, Js, Qd)
(3h, 5d, Td, Jc, Qc)
(2c, 3c, 9d, Th, Jd)
(9s, Th, Qh, Kd, As)
(6d, 8s, 8d, 8c, 9c)
(3c, 3d, 4h, 5d, 9c)
(4d, 7h, 7s, 9s, Tc)
(4s, 4h, 5c, 9h, 9s)
(5s, 6h, 8h, Ts, Qc)
(5d, 5s, 6c, 9h, Th)
(4d, 4c, 7h, 9c, Qd)
(3d, 6s, 8d, Td, Kh)
(2h, 3h, 4s, Jc, Kc)
(4c, 5c, 6s, 7s, Kh)
(4s, 5d, 5c, 7c, Ks)
(8c, 9d, Tc, Th, Ks)
(2s, 5h, 5s, 6c, Jc)
(3h, 6s, 6h, 9c, Ah)
(2s, 4c, 5s, Kd, Ad)
(3d, 4h, 5s, 7d, Jd)
(4c, 5h, 6h, 6c, 8h)
(2c, 3d, 3h, 3c, 7d)
(2s, 2c, 7s, Jc, Kh)
(3s, 8h, 9h, Ts, Jd)
(2h, 5d, 8c, 9c, Td)
(2d, 7c, 8h, Tc, Ah)
(5c, 8h, 9s, Ah, Ad)
(3d, 5c, 6d, 8d, Qd)
(5d, 5s, 8d, 9s, Tc)
(2d, 7d, 8s, Ts, Js)
(5h, 6d, Qd, Qs, Ah)
(3d, 5s, 6h, 8c, 9h)
(Tc, Jd, Qh, Qc, Ad)
(2d, 3d, 9c, Jd, Jc)
(4h, Qc, Qd, Ks, Ac)
(2h, 5c, Qs, Kc, As)
(2c, 2h, 3h, 8c, Kc)
(2s, 2h, 5s, 6s, 9s)
(3d, 6h, Ts, Th, Qh)
(6s, 9h, Jd, Qd, Ah)
(4c, 5d, 6h, 9d, Qh)
(2c, 4c, 4s, 6s, Tc)
(3h, 5h, 8h, Th, Qd)
(5d, 8h, 8d, Th, Ad)
(5d, 8s, 9c, Td, Jc)
(2c, Th, Qc, Ks, Ah)
(7h, 9d, Td, Qc, Kd)
(2c, 4c, 5h, 8c, Kc)
(6c, 8c, 9d, 9c, As)
(4d, 7s, 9s, 9h, Ks)
(4h, 6s, 7c, Kh, Ad)
(3d, 7d, 8h, 8c, Ks)
(3c, 4s, 5c, 8c, Qs)
(2h, 4d, 5s, 5c, 8c)
(7s, 8d, Th, Kh, Ah)
(3d, Ts, Jc, Qs, Qd)
(3c, 5s, 6s, Js, Ks)
(3d, 4s, 8d, 9d, Kd)
(3d, 4c, 6s, 7c, 7d)
(2d, 5s, 9d, Js, Ah)
(3d, 4c, 8d, Qd, Qh)
(2s, 5s, 6s, Jc, Ks)
(4h, 5s, 7d, 8d, Ad)
(2h, 6c, 7s, Js, As)
(2d, 2s, 4c, 9s, Jc)
(2s, 4h, 7s, Qc, Qd)
(5s, 9d, 9h, Qc, Qd)
(2d, Td, Qd, Kh, Ad)
(4h, 8c, Td, Kc, Ac)
(7c, 8c, 8s, 9d, Jc)
(2c, 2h, 7s, Qc, Ah)
(2h, 7c, 9c, Kh, Ah)
(4h, 5s, 8c, 8h, Qd)
(5c, Th, Js, Qh, Ad)
(3h, 6c, 7d, Jd, Ac)
(4d, 4c, 6d, 8s, Kd)
(2s, 5s, 7s, 8s, 9h)
(5d, 8h, Js, Qc, Kd)
(4s, 7h, 8s, Js, Kd)
(7d, 9s, Jc, Qd, Kc)
(3c, 5h, Ts, Jc, Qs)
(3d, 7c, 7h, Qh, Kc)
(5h, 9c, Ks, Kc, Ac)
(2s, 5s, 6c, 7h, Qd)
(9c, Td, Jd, Kd, Ad)
(3c, 4d, 6d, 8s, Ah)
(6d, 9d, 9c, Ts, Js)
(2c, 5h, Td, Js, Ad)
(3d, 3c, 4d, 9c, Qc)
(3d, 9h, Qc, Qs, Kc)
(2s, 3h, 7d, Ts, Kc)
(3c, 3h, 7h, 7c, 9s)
(7s, Th, Js, Jc, Qd)
(4s, 8d, Ts, Kd, As)
(2c, 4d, 6h, 7s, 7h)
(5d, 7d, 8d, Ts, Jh)
(2h, 3c, 6s, 9c, Td)
(6d, 8d, Qd, Kd, Kh)
(3h, 6c, Th, Qh, Ad)
(2s, 5h, 6d, Qd, Qc)
(2c, 7s, 9d, Qd, Ks)
(5s, Ts, Jd, Kc, As)
(4s, 6d, Qs, Qc, Ks)
(3d, 5s, 7h, Th, Jc)
(6h, 6c, 7d, Th, Jd)
(7d, 7c, 8c, Ts, Js)
(4d, 7c, 9c, Qs, Kc)
(2h, 3h, 4c, Ts, Qc)
(9s, Ts, Jh, Ks, Ac)
(7h, 8s, Th, Tc, Td)
(3c, 6h, 9s, Kc, Ac)
(3s, 6s, 7d, 8c, Kd)
(8c, Th, Qh, Ks, Kd)
(6s, 9s, Ts, Ks, Kc)
(Ts, Tc, Qd, Kc, Ad)
(6s, 7c, 8h, Kh, Ah)
(4s, 8h, 9s, Th, Qc)
(3s, 7s, 9c, Tc, Td)
(2c, 4h, 6h, Qh, Ac)
(3s, 6h, 9s, Jh, Qd)
(4s, 8c, 8h, 9c, Kc)
(7s, 8s, 8h, 9h, Ts)
(7d, Th, Js, Qs, Ah)
(2d, 6d, 7c, 9h, Qc)
(3h, 5s, 9d, Ts, Kc)
(5d, 8s, 9s, Ts, Js)
(2s, 6d, 7s, 8s, 9d)
(2c, 3d, 4s, 6h, Ac)
(3c, 6h, 7h, 8d, Kh)
(4d, 6d, 8h, Ks, Ah)
(3s, 3c, 4d, 5d, Ks)
(2s, 2c, 3d, 3c, Kd)
(2s, 4d, 9s, Ks, Ah)
(3h, 6d, 6s, Jd, Kh)
(2s, 2c, Td, Qs, Kc)
(3c, 6c, 8s, Js, As)
(4c, 7s, 9d, Ts, Qc)
(6d, 7h, 7c, 8s, 9h)
(6d, Ts, Td, Ah, As)
(4c, 4h, 5s, 6d, Kd)
(2d, 2s, 2c, Tc, Th)
(2h, 3h, 3s, 5s, 6c)
(4d, 5s, 7c, Qs, Ac)
(2d, 5d, 9s, Jh, Ks)
(6d, 6c, 6s, Js, Ah)
(6d, 7c, 9s, Th, As)
(2d, 4s, 5d, Jc, Kd)
(2d, 4d, 5c, 6d, As)
(4c, 5s, 8d, Js, Kh)
(2d, 4d, 5c, 7d, As)
(5h, 5d, Kd, Kh, As)
(2s, 2c, 3s, Kc, Kd)
(6c, Tc, Jd, Qs, Qd)
(3s, 7d, Tc, Qc, Qh)
(3d, 5h, 8h, Tc, Ah)
(4d, 4h, 6d, Qc, As)
(4s, 8s, Th, Td, Js)
(4s, 6d, 6s, Qc, Ad)
(3s, Jd, Qd, Kh, Ks)
(2c, 2d, 5s, 5h, 5c)
(6s, 7d, 9c, Qs, As)
(7s, Th, Jc, Qh, Qs)
(3d, 4c, 7d, 8h, Qh)
(2c, 6h, Jd, Qh, Ad)
(4h, 6c, 8d, 8h, Ts)
(2c, 5d, 5s, 6c, 9c)
(2d, 6s, Ts, Kh, As)
(3s, 7c, 8s, Jd, Qs)
(8c, 8d, Td, Jc, Ks)
(4h, 6c, 7h, 9h, Jc)
(6h, 8h, 8c, 9h, Ac)
(2c, 3c, 5c, 8s, Tc)
(4h, 8d, 9h, 9s, Kc)
(2s, 3c, 4c, 9s, Qc)
(3c, 5c, 6h, 9s, Ts)
(2c, 6c, 7s, 7d, Jd)
(4c, 4s, 7h, 9c, Th)
(3s, 8d, Td, Jh, Jd)
(9d, 9h, Qs, Qh, Qc)
(4s, 7s, 8c, Ts, Td)
(4d, 4h, 4s, 6s, Jc)
(5h, 5c, 8c, 9d, 9s)
(4d, 9c, Td, Qh, Ad)
(4h, 9h, Jd, Qd, Kh)
(4s, 6c, 7h, 8h, Ks)
(2c, 9s, Ts, Jh, Kd)
(2d, 6h, 9c, Qc, Kc)
(3d, 5h, 8d, Kd, Ad)
(4h, 5s, 6h, Td, Kh)
(2d, 2c, 3d, 7d, 9h)
(3d, 5c, 9c, Ts, Kd)
(5s, 7d, Th, Td, Kd)
(2c, 6h, 7s, 8d, Qd)
(2c, 3d, Qs, Kc, Ac)
(3c, 5c, Ts, Jd, As)
(2h, 6c, 7d, 8h, Kh)
(5h, 7c, 8d, Td, Qc)
(3c, 6d, Tc, Kc, Ah)
(7s, 7d, 8h, Jd, Kd)
(2s, 4d, 6d, 6c, 9h)
(4s, 6c, 8h, Qd, As)
(3c, 4d, 8c, 9h, Tc)
(2s, 8s, 8c, 9h, Ad)
(2h, 3s, 4c, 5s, 8c)
(4h, 7h, 8s, Qd, As)
(3d, 9s, Qd, Qs, Ah)
(3s, 4c, Tc, Th, Jd)
(4h, 5d, 6c, Kc, Ad)
(2d, 6c, 6d, 7c, Ts)
(5h, 5c, Jh, Jc, Kd)
(5d, 6s, 7c, Qh, Kh)
(4s, 5d, 9s, Ks, Ad)
(2c, 4s, 5c, 8s, Kc)
(4c, 8s, Td, Ts, Ac)
(7h, 8d, 9s, Jc, Kc)
(2h, 6s, 7d, Kc, Ks)
(2h, 5d, 7s, Th, Jc)
(4h, 6s, 6h, 8h, Tc)
(4h, 5d, 6h, 6s, 7d)
(3d, 4h, 9c, Ks, Ac)
(6c, 7s, Ts, Jh, As)
(2d, 4s, 5s, 9d, Qc)
(5s, 7c, 7h, 8d, Kd)
(4d, 5d, Qh, Ks, As)
(4s, 4d, Td, Ts, Qc)
(2c, 2d, 4c, 5s, Th)
(2h, 4c, 5h, 9d, 9s)
(2s, 3d, 6d, Kd, Ah)
(7h, Th, Td, Jh, Kh)
(3d, 3h, 3c, 5d, Jh)
(5c, 5d, 6s, 6d, Tc)
(2h, 4h, Jd, Jc, Jh)
(9s, 9c, Kc, Kh, Ad)
(4c, 7s, Jd, Qc, Ks)
(4s, 4c, 5s, Td, Qc)
(3c, 3h, 7c, Qh, Ad)
(9d, 9h, Th, Jc, Ad)
(3s, 4d, 4c, 6d, Qh)
(2d, 5d, 8d, Qh, Ah)
(4c, 7c, Th, Jd, Qh)
(4s, 4c, 6d, 8c, 8s)
(2c, 2h, 4d, 6h, Jc)
(2h, 3h, 5h, Td, Jd)
(2s, Th, Qs, Ah, As)
(2c, 8c, 9d, 9h, Jh)
(5c, 5s, 5d, Th, Qd)
(2c, 3s, 5d, 9d, Qh)
(5h, 8d, Qc, Ks, Ac)
(2d, 7h, Th, Qs, Kc)
(3d, 5s, 9d, Qs, As)
(7d, 8h, 9c, Jd, Ah)
(5h, 6s, 8d, 8h, Ad)
(2d, 3s, 5h, 7h, Jc)
(2h, 3h, 8h, 8d, Jh)
(2d, 3h, 4h, 5s, 8d)
(2c, 2h, 3c, 4c, 9h)
(2h, 4c, 6d, Td, Ks)
(5d, 6d, 7d, 9s, Qd)
(3h, 4d, 5h, Kc, Ks)
(6s, 8h, Tc, Qc, Ah)
(2d, 5s, 6h, 8d, 8h)
(2s, 3c, 4s, Jd, Qc)
(3c, 4c, 5c, 7d, 8s)
(3h, 5s, 8s, Qh, Ac)
(4d, 8d, 9s, Kh, Ac)
(2s, 4s, 5d, 8d, Ah)
(4d, 5c, 7d, Qs, Ks)
(2s, 6h, 7d, 9c, As)
(3h, 4c, Td, Kd, As)
(4d, 5s, 7h, 8s, Ts)
(3c, 7h, 7c, Td, As)
(3c, 3s, 7h, 9c, Qc)
(4c, 7c, 8h, 8d, Ah)
(3c, 4s, 6s, 8d, Td)
(2c, 5c, 6s, 7c, Jc)
(6s, 9s, Jd, Kc, Ac)
(5h, 5d, 6c, Qh, Kc)
(6s, 8d, 9s, Jd, As)
(2s, 2h, 2c, 3h, Kh)
(3d, 3h, 6c, 8d, Jh)
(4c, 5c, 7c, 8h, Tc)
(5h, 6c, 8d, 9d, Js)
(2s, Jd, Qs, Qd, Ac)
(3c, 7h, 8h, Jd, Ac)
(3h, 8d, Th, Js, Qd)
(2h, 4h, 9h, Qh, Ks)
(3c, 7c, 7s, 8h, Jc)
(Tc, Qd, Kc, Ad, Ah)
(2d, 3d, 4s, Ah, Ad)
(5h, 7s, 9s, Td, Ah)
(4s, 7h, 7d, 9c, Kd)
(2c, 7c, 9s, Jc, Jd)
(2h, 3s, 7c, 7h, Jd)
(3s, 5c, 6h, 6s, 7d)
(2h, 4d, 4h, 5d, Ah)
(7c, 7d, 9s, Jd, As)
(3c, 6d, 7d, Kc, As)
(2d, 4h, Td, Th, Ac)
(2h, 4h, 7d, Jc, Qc)
(3s, 5h, 5d, 8s, Js)
(6d, Qd, Qc, Kc, Ad)
(4c, 7h, 8c, 8s, Tc)
(4c, 4s, 6c, 9h, Jc)
(3c, Jd, Qd, Qs, Ad)
(4c, 6h, 9s, Jh, Ks)
(4c, 7h, 8c, Jd, Ah)
(3d, 4d, 4s, Tc, Kc)
(3h, 6c, Js, Ks, Kc)
(3d, 5c, Ts, Js, Qd)
(2h, 5c, 9d, Kd, Kh)
(7c, 7d, 8s, Kc, Ks)
(2h, 6c, 7s, 9s, Jd)
(3c, 7d, 8s, 8d, Kd)
(4h, 7d, 8s, Ts, As)
(3c, 4s, Th, Ks, Kh)
(3d, 5h, 7c, 9h, Ac)
(6d, 7c, 9s, Ks, Ah)
(9c, Qs, Ks, Kd, As)
(5h, 6c, Kd, Ah, As)
(5s, 6c, 7s, 9c, Ad)
(4s, 7c, 9d, Js, As)
(3s, 7h, 8c, Kd, Ad)
(6c, 9c, Js, Qd, Ad)
(2h, 8d, 8c, 9d, 9h)
(3h, 7h, Jh, Jc, Qd)
(2c, 4d, 4s, 4h, Jh)
(6d, 7h, 8d, 9c, As)
(2h, 3s, 4c, Qc, Kd)
(2c, 3s, 5d, Tc, Th)
(4d, 5s, 9d, Th, Kh)
(3c, 4s, 9d, Jh, Ad)
(3h, 5h, 8d, Tc, Jd)
(5h, 8s, Td, Ts, Jh)
(3h, 3s, 8c, Js, Qs)
(2c, 4h, 7d, 9h, Th)
(6d, 7c, Js, Kh, Ah)
(4s, 5s, Ks, Kd, Ad)
(2d, 4h, 5h, Ah, Ad)
(5h, 7s, 8s, Ad, Ac)
(3s, 3h, 6h, Kh, Ah)
(2c, 3d, 7d, Th, As)
(8s, 9s, Tc, Ts, Ac)
(2h, 6s, 8s, 9h, Jc)
(2d, 3c, 6h, 7s, Jc)
(3d, Jh, Js, Qs, Ad)
(2s, 3s, 5c, Qh, Kd)
(5d, 6s, Jh, Js, As)
(4h, 5d, 9d, Td, Jd)
(6d, 6h, 8c, 9c, As)
(3s, 8c, Tc, Qc, Ac)
(2c, 7c, 8c, Qh, As)
(3d, 4s, Td, Tc, Kc)
(2s, 4c, 5s, 6c, Jd)
(4c, 7s, 8h, Th, Ks)
(3d, 8c, Qd, Kd, As)
(4c, 9h, 9d, Qs, Qh)
(6d, 8h, Js, Jc, Kc)
(5h, 8c, 9h, Qc, Kd)
(4s, 6h, Th, Td, Kc)
(4c, 6c, 8d, Tc, Kh)
(4h, Th, Jh, Js, Qs)
(3s, 3d, 8c, Jh, As)
(3s, 8c, 9c, Kd, Ac)
(5s, 6h, 9s, Qc, Kd)
(3d, 5d, 9h, Tc, As)
(6h, 7s, Th, Ad, As)
(3c, 4d, 5h, 7s, 9h)
(6d, 7c, 7d, Qs, As)
(3s, 3h, 6c, 9s, Td)
(2s, 4s, 9h, Ac, Ad)
(5c, 8s, 9h, Tc, As)
(3s, 5h, 8s, 9s, Ks)
(5h, 6s, 8s, 9c, Ac)
(2c, 6s, 7s, Qh, Ks)
(4c, 6h, 8s, Qh, Ks)
(3d, 5c, Jh, Qd, Kd)
(3s, 6c, 7c, 7s, 9c)
(8d, Ts, Tc, Kc, Kh)
(7s, 9h, Jd, Ah, Ad)
(5h, 8s, Js, Jc, Ah)
(3c, 9s, 9h, Jc, Kh)
(4h, 6h, 7d, Jh, As)
(3s, 4c, 4h, 6s, 7c)
(2h, 4h, 9c, Jd, Qs)
(4s, 9c, Qc, Kd, Ks)
(2d, 2h, 4d, 6s, Jh)
(3c, 6c, 9c, Qs, Ah)
(2c, Ts, Tc, Kc, Ad)
(3s, 4h, 6d, 7s, 8d)
(4h, 5h, 8h, 9c, Ad)
(4s, 5d, 7h, 9s, Qd)
(4d, 5c, 6c, 7d, 9d)
(2h, 5d, 7d, Qd, Ks)
(4c, 6s, 7h, Ts, Ah)
(2c, 5d, 6d, Jc, Jh)
(6h, 7s, Th, Ks, Ac)
(4d, 5h, 5d, 7c, Tc)
(2d, 4c, 7c, 9h, Jh)
(2c, 4h, Js, Jd, Ad)
(2s, 2d, 7c, Th, As)
(5c, Ts, Js, Jh, Ad)
(5c, 6c, 7d, Qd, As)
(2d, 4s, 9h, 9s, Ac)
(6d, 8h, 8s, 9c, Qh)
(2d, 6h, 9c, Jc, Kd)
(6s, 7c, 8s, Th, Js)
(4h, 6s, 8h, 8s, Qd)
(4d, 6c, Ts, Js, Kc)
(5c, 7d, Tc, Js, Ah)
(7h, Td, Ts, Ks, Ac)
(2c, 3h, 8c, 8d, 9c)
(3c, 4h, 5c, 8s, Qc)
(6c, 6d, 9h, Jc, As)
(7d, Th, Td, Ks, Ah)
(3s, 4h, 8c, 9h, Qd)
(2c, 3c, 6d, Tc, Ah)
(2d, 5s, 7d, Js, Ad)
(2h, 5h, 6h, 9c, Ks)
(4h, 6h, 6s, 7h, Jh)
(2h, 4s, 6s, Kc, Ad)
(4s, 9h, Th, Qc, Qs)
(2d, 7d, 8c, Qs, Ad)
(5d, 6c, Tc, Qc, Kh)
(4c, 4d, Tc, Ks, Ac)
(2d, 2s, 2h, 3c, 5h)
(2d, 7c, 8h, 9h, Ah)
(6c, 8h, 8d, Th, Js)
(7h, 8s, Jd, Ks, Ah)
(2h, 4c, 6d, Qc, As)
(3s, 7d, 8h, 8d, Js)
(2h, Th, Ts, Jh, Kh)
(3d, 3s, 5h, Td, Kc)
(4d, 5d, 9h, Kd, Ks)
(3c, 3h, 4h, 8d, Ac)
(5c, 7s, 8s, Jh, Ad)
(4s, 5d, 6d, 9s, Td)
(8s, 9d, Jh, Qc, Qh)
(2c, 7c, 7d, Qh, Qs)
(3h, 5c, 8h, Kd, Ad)
(2d, 5d, 9c, Th, Kc)
(3h, 4c, 5s, 9c, Kc)
(5c, 6d, 6c, 9c, Qh)
(4d, 4c, Jd, Qd, Ah)
(4h, 5s, 6d, 7h, 9d)
(3h, 6d, 7h, Jh, Jc)
(5d, 8s, Td, Qs, Ks)
(2d, 4d, 5s, 7d, Qh)
(2c, 5d, 6d, 6h, Kd)
(7h, 9s, Th, Qc, As)
(2c, 3h, 5h, 9s, Jc)
(4c, 5c, 7c, Qh, Ad)
(3h, 7d, 9s, Th, Qc)
(6h, 6s, 9h, Ts, Kc)
(6c, 7s, 8d, Jh, Ks)
(2c, 3c, 9s, Jh, Ad)
(3h, 3d, 6s, Ad, As)
(2d, 4d, 4h, Td, Ad)
(2h, 4h, 8c, 8h, Qc)
(3h, 3s, Jh, Ks, Ah)
(4c, 6c, 7h, Kd, Kh)
(3h, 6d, 7c, 9c, Js)
(2s, 2h, 4c, 6d, 9h)
(2h, 4c, 4h, 7c, 9c)
(7s, 9s, Qd, Kd, Kh)
(2d, 3c, 6s, As, Ah)
(5s, 5d, 9d, Jd, Kh)
(5s, 7h, 9d, Ts, As)
(6s, 6d, 8c, Qd, Kh)
(3s, 7s, 9s, Ts, Kh)
(7h, 8s, Jc, Qh, Qc)
(7c, 8h, 9h, Jh, Ks)
(5s, 6s, 7d, 9h, Jd)
(2c, 8s, Td, Jd, As)
(7d, Ts, Th, Kd, Kc)
(4c, 5c, Js, Qs, Kc)
(2d, 5d, 6d, 7d, Js)
(4d, 9s, 9d, Qd, As)
(3c, 7d, Tc, Kd, Ah)
(5d, 7c, 7h, 9d, Tc)
(2d, 4s, 4c, 6c, 6d)
(3s, 6c, Td, Qs, Kh)
(2h, 3h, Tc, Qh, Kh)
(3d, 9s, Jc, Jd, Kh)
(2h, 3s, 6s, 8c, Jh)
(6h, 9h, Td, Th, As)
(2s, 4h, 7d, 7s, 8c)
(3h, 4c, 7c, 9d, Tc)
(3d, 3h, 3c, Qs, Kc)
(6s, 8s, Jc, Qs, Ks)
(2s, 3c, 5c, 5h, Tc)
(6s, 6d, 7h, Jc, Qc)
(Qd, Qh, Ks, Kh, Ah)
(6s, 8c, Jc, Jd, Kh)
(3h, 4h, 6d, 6s, Ah)
(2d, 5c, 8h, 9h, Qs)
(2s, 3s, 4s, 4h, Jc)
(4c, 7h, Js, Qs, Kc)
(4s, 8c, Tc, Qc, Ah)
(3s, 5s, 8d, Kd, Ah)
(3s, 6c, Js, Qh, Ah)
(Jd, Jh, Kc, Ah, Ad)
(3d, 4s, Jd, Qc, Kd)
(2s, 5s, 8h, 8d, Jd)
(2h, 7h, Qc, Ks, Ad)
(6d, 6h, Js, Kd, Ac)
(3h, 9h, Qd, Ks, Ac)
(2h, 8s, Qd, Ad, As)
(2h, 7c, Ks, As, Ac)
(4s, 6c, 6h, 7s, 9d)
(7s, Th, Qh, Kc, As)
(2h, 9s, Js, Qh, Ad)
(6c, 7s, 9s, Ts, Qh)
(2h, 6h, 8c, Td, Kd)
(2h, 2d, 7d, 9h, Ks)
(6s, 7d, 8d, 9c, Jc)
(7s, Tc, Qh, Qs, Ac)
(2c, 2s, 6d, 8c, Kd)
(2h, 8h, 8s, Kc, Ac)
(7s, 7d, 9d, Jd, Qd)
(3c, 5d, 8h, 9d, Qs)
(2s, 5h, 7c, 9c, As)
(3d, 5h, Td, Qd, Kh)
(2s, 6d, Ts, Ks, As)
(2c, 3d, 9c, 9s, Js)
(7h, Tc, Jd, Qs, Kc)
(4c, 5d, Jh, Ad, Ac)
(2h, 7h, Js, Qh, Ac)
(3h, 5s, 7c, 8d, 9c)
(3d, Qh, Qd, Kd, Ad)
(3h, 8c, Th, Jh, Qs)
(4s, 5c, 9c, Jh, As)
(3h, 3c, 8d, Th, Qc)
(2h, 6d, 9d, Qh, Ks)
(2s, 7d, 8h, 8s, 9h)
(6h, Jh, Qc, Ks, Ad)
(3c, 4c, 6h, 8s, Qh)
(2d, 5c, 9s, Td, As)
(4d, 4c, 7s, 9s, Ks)
(4s, 7c, 8s, Ks, As)
(3c, 4s, 9s, Jd, As)
(2s, 7d, Jh, Qs, Qh)
(2d, 5c, Th, Td, Ad)
(3d, 5d, 8d, 9h, Ks)
(2c, 2h, 7c, Jh, Kh)
(2h, 4h, 4s, 8d, Jc)
(3c, 4s, 6s, 9d, Kd)
(2h, 2d, 3h, 8c, Qs)
(3h, 5d, 7h, 9h, Th)
(2s, 2h, 2c, 9s, Qc)
(5d, 5c, 6c, 8h, Ah)
(3d, 4s, 5c, Jh, Kc)
(4d, 4c, 7d, 8c, Ts)
(8h, Th, Jh, Qd, Qh)
(2d, 3s, 5h, 5c, 9s)
(2h, 4s, 5s, Th, Kh)
(3s, 5s, 6s, 6c, 8h)
(3c, 9c, 9s, Td, Ac)
(3h, 7d, 7c, 8d, Kd)
(8d, 9c, Th, Jh, Kc)
(2c, 3d, 3c, 6h, 9d)
(7h, 9c, Qd, As, Ad)
(9d, Ts, Qd, Kc, Ah)
(6d, 8h, 8s, Tc, Kh)
(2s, 6h, Td, Th, Ac)
(2h, 6d, 8c, Js, Qd)
(3s, 4d, 5s, 6h, Kh)
(3d, 9s, Jh, Jd, Jc)
(2d, 4s, 7s, Qd, As)
(3h, 5d, 8s, Qd, Qs)
(5s, 8h, 8s, 8c, Ah)
(3h, 8c, Jd, Qd, Ks)
(4d, 6s, 7h, 7s, Td)
(4d, 6d, 7d, 9d, Qc)
(5s, 6h, 7d, 8c, Js)
(2s, 2c, Tc, Qd, Ac)
(4d, 7s, Tc, Qs, Ac)
(3d, 8h, 9s, Qc, Kd)
(2h, 4h, 6c, 8h, Qd)
(3h, 3s, 6s, 8c, Ad)
(2d, 7d, 7h, 8d, Qc)
(2h, 8c, Js, Kc, Ad)
(2c, 2s, 5s, Td, Qd)
(3c, Js, Jc, Kh, As)
(2c, 8h, 9h, Jd, Ac)
(6h, 9c, Jd, Qc, Ah)
(2c, 2s, 3s, 3d, 5s)
(5c, 9s, Tc, Qc, Ks)
(2c, 4c, 9d, Js, Qh)
(2c, 5c, 6d, 7h, Td)
(4d, 5d, 7h, Jd, Ks)
(6h, 7c, 8h, 8d, Qh)
(2c, 8h, Js, Qd, Kh)
(7h, 8h, 8c, Qh, Ac)
(6s, 8s, Td, Jd, Qs)
(2c, 7s, 7h, 8h, Td)
(2h, 3s, 3c, Qh, Ad)
(2h, 6d, Js, Jc, Ad)
(3h, 7d, 7s, Js, Ah)
(2s, 4d, 5h, 6d, Ks)
(5d, 6c, 9d, Kh, As)
(4h, 7d, Jd, Jh, Kh)
(5c, 8s, Tc, Qh, Qs)
(2s, 6h, 8c, 8s, Td)
(2d, Ts, Qs, Qd, Kc)
(8h, Td, Ts, Jc, Ah)
(2d, 3d, 6h, Ts, Qd)
(2c, 5h, 6s, 8h, Th)
(3s, 6s, 8s, 9s, Qs)
(2d, 4s, 9d, Jd, Js)
(2c, 4s, 5s, 8d, Th)
(2c, Qd, Qc, Kc, Ks)
(5s, 7c, Jh, Js, Qs)
(4s, 7s, 7d, 8c, Jc)
(Ts, Jc, Ks, Kd, Ah)
(4h, 5s, 9h, Kh, As)
(4h, 5c, 8s, Jh, Kd)
(3s, 6s, 7s, 8h, Ks)
(2c, 5h, 7d, Th, Ks)
(2d, 5d, 8h, Jc, Qc)
(3h, 5h, 7d, Jd, Ac)
(5c, 6c, 7s, Jd, Js)
(2d, 5h, 6d, 8s, Qh)
(3c, 3d, 4h, 7d, Js)
(7d, 9s, Ks, Kd, As)
(4h, 6h, 7d, Ts, Jc)
(4d, 5d, Th, Kd, Kc)
(3s, 5c, 8d, Td, Qd)
(3h, 6d, Tc, Js, Ad)
(2h, 7c, Jc, Qd, Ks)
(3h, 6s, 9h, Td, Ad)
(2d, 3d, Tc, Th, Kc)
(2d, 3h, 6h, 7c, Qs)
(2c, 3h, 7h, 7c, Qd)
(2h, 4d, 7d, 8c, 8s)
(4d, 7c, 9h, Qh, Ks)
(2h, 5c, Tc, Qh, Ac)
(2d, 6d, 8s, Td, Jh)
(4c, 5c, 7c, 7h, Jc)
(5d, 5c, 8d, Qh, Ad)
(2c, 5s, Th, Jh, Qs)
(2s, 5h, 8s, Jd, Qc)
(6c, Qd, Qs, Kh, Ac)
(3h, 3c, 3d, 9s, Th)
(6s, 9h, Td, Qs, Ad)
(2s, 4s, Qd, Qh, Ad)
(3d, 7h, 9d, Th, Jc)
(3h, Th, Qs, Kh, Ac)
(2d, 9c, Jc, Qh, Ac)
(4s, 8c, Js, Jh, As)
(3c, 5s, 6d, Jd, Ah)
(3d, 5s, 8s, Kc, Ac)
(7h, 7d, 8h, 8s, Qc)
(5h, 6s, Tc, Ts, Qd)
(2h, 5c, 8c, 8d, Td)
(4s, 5c, Qh, Kc, As)
(6c, 8s, Jh, Qs, Ac)
(5c, 8c, 9d, Kd, Ah)
(6h, 6c, Qc, Ah, Ad)
(2h, 6c, 7d, 7s, Kc)
(2c, 6d, Th, As, Ah)
(4h, 6c, 7c, 9h, Qd)
(6c, 7s, 7c, Kc, As)
(7s, 8d, Td, Jc, As)
(3s, 7h, 8s, Th, Ac)
(2h, 3h, 5d, 6d, Ad)
